,text_clean,text_preprocessed
0,awalnya korban penipuan tiket konser coldplay hanya  orang kemudian bertambah menjadi  orang dengan nilai kerugian yang awalnya rp juta skrng menjadi rp juta,"['korban', 'tipu', 'tiket', 'konser', 'coldplay', 'orang', 'tambah', 'orang', 'nilai', 'rugi', 'rp', 'juta', 'skrng', 'rp', 'juta']"
1,pasangan suami istri pelaku penipuan tiket konser coldplay ditangkap ditreskrimsus polda metro jaya di yogjakarta kerugian atas penipuan tersebut mencapai  juta rupiah senin  eds,"['pasang', 'suami', 'istri', 'laku', 'tipu', 'tiket', 'konser', 'coldplay', 'tangkap', 'ditreskrimsus', 'polda', 'metro', 'jaya', 'yogjakarta', 'rugi', 'tipu', 'capai', 'juta', 'rupiah', 'senin', 'eds']"
2,thread  polisi menerima  laporan dari korban penipuan jastip pembelian tiket konser coldplay kini polisi telah menangkap pelaku penipuan di bantul yogyakarta,"['thread', 'polisi', 'terima', 'lapor', 'korban', 'tipu', 'jastip', 'beli', 'tiket', 'konser', 'coldplay', 'polisi', 'tangkap', 'laku', 'tipu', 'bantul', 'yogyakarta']"
3,gsp awalnya korban penipuan tiket konser coldplay hanya  orang kemudian bertambah menjadi  orang dengan nilai kerugian,"['gsp', 'korban', 'tipu', 'tiket', 'konser', 'coldplay', 'orang', 'tambah', 'orang', 'nilai', 'rugi']"
4,subdit siber dit reskrimum polda metro jaya menangkap dua orang tersangka kasus penipuan tiket konser coldplay ,"['subdit', 'siber', 'dit', 'reskrimum', 'polda', 'metro', 'jaya', 'tangkap', 'orang', 'sangka', 'tipu', 'tiket', 'konser', 'coldplay']"
5,expose keren malaysia tolak konser coldplay  banyoe    ,"['expose', 'keren', 'malaysia', 'tolak', 'konser', 'coldplay', 'banyoe']"
6,penipuan tiket konser coldplay an gilang purnama dan tania widya agustina  kronologi  aku  temen temen ikut war tiket co,"['tipu', 'tiket', 'konser', 'coldplay', 'an', 'gilang', 'purnama', 'tania', 'widya', 'agustina', 'kronologi', 'temen', 'temen', 'war', 'tiket', 'co']"
7,konser coldplay bisa jadi katalis target ekonomi turisme rp t,"['konser', 'coldplay', 'katalis', 'target', 'ekonomi', 'turisme', 'rp', 't']"
8,aku masih open joki pinjolnya ya kecuali ketiduranyuk yg pusing mikirin tagihan pinjolnya sini aku bisikin solusinya biar utang pinjol kamu lunasfast resp klik link d bio,"['open', 'joki', 'pinjolnya', 'ya', 'kecuali', 'ketiduranyuk', 'yg', 'pusing', 'mikirin', 'tagih', 'pinjolnya', 'bisikin', 'solusi', 'biar', 'utang', 'pinjol', 'lunasfast', 'resp', 'klik', 'link', 'd', 'bio']"
9,tegas berbeda dengan mahfud md soal lgbt ini pandangan cholil nafis mui pusat jelang konser coldplay ,"['beda', 'mahfud', 'md', 'lgbt', 'pandang', 'cholil', 'naf', 'mui', 'pusat', 'jelang', 'konser', 'coldplay']"
10,orang yang kena tipu tiket coldplay kok pada gampang bgt ya ditipu asal gue jual tiket konser dengan bener selalu cod ga minta dp yang penting ga hit n run pas diajak codan eh malah dikerjain mulu guenya hahahaha,"['orang', 'kena', 'tipu', 'tiket', 'coldplay', 'gampang', 'bgt', 'ya', 'tipu', 'gue', 'jual', 'tiket', 'konser', 'bener', 'cod', 'ga', 'dp', 'ga', 'hit', 'n', 'run', 'pas', 'ajak', 'codan', 'eh', 'dikerjain', 'mulu', 'gue', 'hahahaha']"
11,gerakan olahraga yang bisa dilakukan sebelum nonton konser coldplay  ada yang mau nambahin reply yak hihihihihihi  ,"['gera', 'olahraga', 'nonton', 'konser', 'coldplay', 'nambahin', 'reply', 'yak', 'hihihihihihi']"
12,tujuh orang korban dugaan penipuan penjualan daring tiket konser coldplay di jakarta diperiksa penyidik bareskrim polri  caritau di sini,"['tujuh', 'orang', 'korban', 'duga', 'tipu', 'jual', 'daring', 'tiket', 'konser', 'coldplay', 'jakarta', 'periksa', 'sidik', 'bareskrim', 'polri', 'caritau']"
13,wapres soroti maraknya calo tiket konser coldplay,"['wapres', 'sorot', 'marak', 'calo', 'tiket', 'konser', 'coldplay']"
14,konser dewa  di istora argentina maen di indonesa coldplay di indonesia nabung niwak,"['konser', 'dewa', 'istora', 'argentina', 'maen', 'indonesa', 'coldplay', 'indonesia', 'nabung', 'niwak']"
15,rekomendasi baju outfit crop top lucu bisa di pake buat ke konser nya coldplay,"['rekomendasi', 'baju', 'outfit', 'crop', 'top', 'lucu', 'pake', 'konser', 'nya', 'coldplay']"
16,channel total kerugian  korban penipuan jastip tiket konser coldplay  tembus rp juta,"['channel', 'total', 'rugi', 'korban', 'tipu', 'jastip', 'tiket', 'konser', 'coldplay', 'tembus', 'rp', 'juta']"
17,dyah roro esti puji rencana konser coldplay usung konsep ramah lingkungan   ,"['dyah', 'roro', 'esti', 'puji', 'rencana', 'konser', 'coldplay', 'usung', 'konsep', 'ramah', 'lingkung']"
18,hi hii yang mau tiketnya dibantu jualin atau dicariin bisa dm yaa boleh tiket konser coldplay atau agustd  syarat harus sesuai standartku biar bisa dipastiin legit no scam scam   wts wtb coldplay agustd cat,"['hi', 'hii', 'tiket', 'bantu', 'jualin', 'dicariin', 'dm', 'yaa', 'tiket', 'konser', 'coldplay', 'agustd', 'syarat', 'sesuai', 'standartku', 'biar', 'dipastiin', 'legit', 'no', 'scam', 'scam', 'wts', 'wtb', 'coldplay', 'agustd', 'cat']"
19,kusut tentang coldplay bukan masalah konser dan individunya lgbt dibeberapa konser selalu kampanyekan lgbt dan itu yg membua,"['kusut', 'coldplay', 'konser', 'individu', 'lgbt', 'beberapa', 'konser', 'kampanye', 'lgbt', 'yg', 'bua']"
20,total kerugian  korban penipuan jastip tiket konser coldplay  tembus rp juta,"['total', 'rugi', 'korban', 'tipu', 'jastip', 'tiket', 'konser', 'coldplay', 'tembus', 'rp', 'juta']"
21,pengen nonton konsernya coldplay lahhh  tpi ga bisa nonton soalnya ribet ngurusin sesuatu dan lebih penting  kayanya jdi tim nonton keseruannya aja dri konten konser coldplay yg dishare temen²  sambil greges,"['ken', 'nonton', 'konser', 'coldplay', 'lahhh', 'tpi', 'ga', 'nonton', 'ribet', 'ngurusin', 'kaya', 'jdi', 'tim', 'nonton', 'seru', 'aja', 'dri', 'konten', 'konser', 'coldplay', 'yg', 'dishare', 'temen', 'greges']"
22,rp menanggapi berita tentang tiket nonton konser coldplay yang menurut kemenkes butuh booster terlebih dahulu  pengumuman bagi,"['rp', 'tanggap', 'berita', 'tiket', 'nonton', 'konser', 'coldplay', 'kemenkes', 'butuh', 'booster', 'umum']"
23,pasangan suami istri ditangkap karena melakukan penipuan penjualan tiket konser coldplay  modus tersangka yaitu membeli,"['pasang', 'suami', 'istri', 'tangkap', 'tipu', 'jual', 'tiket', 'konser', 'coldplay', 'modus', 'sangka', 'beli']"
24,menteri pariwisata dan ekonomi kreatif sandiaga uno buka suara terkait kritik majelis ulama indonesia mui terhadap kedatang,"['menteri', 'pariwisata', 'ekonomi', 'kreatif', 'sandiaga', 'uno', 'buka', 'suara', 'kait', 'kritik', 'majelis', 'ulama', 'indonesia', 'mui', 'datang']"
25,polemik pa  tolak konser coldplay makin panas mahfud md lgbt itu kodrat,"['polemik', 'pa', 'tolak', 'konser', 'coldplay', 'panas', 'mahfud', 'md', 'lgbt', 'kodrat']"
26,nanggung klo smpe konser coldplay mah mendingan sampe kiamat di gbk,"['nanggung', 'klo', 'smpe', 'konser', 'coldplay', 'mah', 'mending', 'sampe', 'kiamat', 'gbk']"
27,keinginan buat nonton konser coldplay lagi setelah nonton film dokumenter a head full of dreams   stream di,"['nonton', 'konser', 'coldplay', 'nonton', 'film', 'dokumenter', 'a', 'head', 'full', 'of', 'dreams', 'stream']"
28,pencabulan sesama genk tdk ada uangnya klo konser coldplay panitia tinggal suwon semua beres,"['cabul', 'genk', 'tdk', 'uang', 'klo', 'konser', 'coldplay', 'panitia', 'tinggal', 'suwon', 'beres']"
29,polda metro jaya menangkap dua orang penipu bermodus jasa titip jastip pembelian tiket konser band coldplay   ,"['polda', 'metro', 'jaya', 'tangkap', 'orang', 'tipu', 'modus', 'jasa', 'titip', 'jastip', 'beli', 'tiket', 'konser', 'band', 'coldplay']"
30,scammer tiket konser suga agust d coldplay   hati sama yang mau beli tiket konser sama scammer satu ini   nama fi,"['scammer', 'tiket', 'konser', 'suga', 'agust', 'd', 'coldplay', 'hati', 'beli', 'tiket', 'konser', 'scammer', 'nama', 'fi']"
