"Text";"Id"
"'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian yang awalnya Rp32 juta skrng menjadi Rp183 juta,'
https://t.co/LiTe5oNgUM";"1660908186428391424"
"Pasangan suami istri pelaku penipuan tiket konser Coldplay ditangkap Ditreskrimsus Polda Metro Jaya di Yogjakarta. Kerugian atas penipuan tersebut mencapai 247 Juta rupiah. Senin (2/5). ?Eds 
#BeritaElshinta https://t.co/nOaCIuYVJa";"1660592564456808448"
"{Thread}

Polisi menerima 60 laporan dari korban penipuan jastip pembelian tiket konser Coldplay. Kini, polisi telah menangkap pelaku penipuan di Bantul, Yogyakarta. https://t.co/OPTePCglWB https://t.co/pmxRPhR9h3";"1660850077903249408"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660962308242436096"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660962222385025024"
"RT @detikcom: Subdit Siber Dit Reskrimum Polda Metro Jaya menangkap dua orang tersangka kasus penipuan tiket konser Coldplay. https://t.co/…";"1660962207021297664"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660962204148199425"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660962194052493312"
"RT @AGENDA21_EXPOSE: Keren!!
Malaysia Tolak Konser Coldplay
https://t.co/LpaZGhrsea
@_Banyoe @StopPlandemit @TedInvestigasi @AriesTruss @AX…";"1660962085428400128"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660961714073133056"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660961677251321856"
"Konser Coldplay Bisa Jadi Katalis Target Ekonomi Turisme Rp162 T https://t.co/UUV41hr5KZ";"1660961659303903232"
"RT @AGENDA21_EXPOSE: Keren!!
Malaysia Tolak Konser Coldplay
https://t.co/LpaZGhrsea
@_Banyoe @StopPlandemit @TedInvestigasi @AriesTruss @AX…";"1660961568899862528"
